Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
96,CANARA BANK,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/001693.jpg,N,Canara Bank,http://www.canarabank.com/,3,3.3,3.4,4," Banking, Financial Services & Insurance",1906, Shri. Pradyuman Singh Rawat, 10000+,-, 10001+,-,"Canara Bank is an Indian state-owned bank headquartered in Bangalore, in Karnataka. It was established at Mangalore in 1906, making it one of the oldest banks in the country. The government nationalized the bank in 1969. As of March 2015, the bank had a network of 5705 branches and more than 9039 ATMs spread across India. The bank also has offices abroad in London, Hong Kong, Moscow, Shanghai, Doha, Dubai, and New York."
97,CCS Technologies,4.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003783.gif,N,CCS Technologies Pvt Ltd,http://www.ccstechnologies.in,4,4.5,4.7,5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 201 - 500,-,0
98,Ceasefire Industries,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000176.jpg,N,Ceasefire Industries Ltd,http://www.ceasefire.in/,3.2,3.4,3.4,3.6, Other Services,2002,-, 100 - 500," Greater Noida Expressway, Noida", 1001 - 5000,-,0
99,Celstream Technologies,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000169.gif,N,Celstream Technologies Private Limited,http://www.celstream.com/,2.5,2.5,2.5,2.5, Consultancy Services,2000,-, 100 - 500, Bangalore, 201 - 500," ASM Technologies Ltd , HCL Technologies Ltd , Deepti Electronics & Electro-Optics Pvt Ltd , MindTree Ltd",0
100,Cerner,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002412.gif,N,Cerner Healthcare Solutions Pvt Ltd,http://www.cerner.com,2.5,2.5,2.5,2.5, Healthcare Services,-,-, 5000 - 10000,-, 1001 - 5000,-,"Cerner Corporation is a supplier of health information technology (HIT) solutions, services, devices and hardware. As of April 2015 its products were in use in approximately 18,000 facilities around the world  and the company had about 22,000 employees globally. "
101,Centrum Capital,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003157.gif,N,Centrum Capital Ltd,http://www.centrum.co.in,0,0,0,0," Banking, Financial Services & Insurance",-,-, 1 - 100,-, 501 - 1000,-,0
102,CEB,2.9,http://jobbuzz.timesjobs.com/ndata_images/logos/006819.gif,N,Commercial Engineers & Body Builders Co Ltd,http://www.cebbco.com,3,2.8,2.7,3.2, Other Manufacturing/Production,-,-, 100 - 500,-, 201 - 500,-,0
103,CIBER,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004426.gif,N,CIBER India Pvt Ltd,http://www.ciber.in,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 5000 - 10000,-, 1001 - 5000,-,0
104,Ciena,4,http://jobbuzz.timesjobs.com/ndata_images/logos/004037.gif,N,Ciena India Pvt Ltd,http://www.ciena.com,4,4,4,4," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 201 - 500,-,"Ciena Corporation is a United States-based global supplier of telecommunications networking equipment, software and services that support the delivery and transport of voice, video and data service. Its products are used in telecommunications networks operated by telecommunications service providers, cable operators, governments and enterprises.  The company was founded in 1992 and is headquartered in Hanover, Maryland. Ciena sells products and services across four segments: Converged Packet Optical, Packet Networking, Optical Transport, and Software & Services.  Key current platforms include the 6500 Packet-Optical Platform, 5430 Reconfigurable Switching System, CoreDirector Multiservice Optical Switch, 3000 family of service delivery switches, and the 4200 Advanced Services Platform. It also offers the Ciena One integrated network and service management software suite, consulting and support services, deployment services, maintenance and support services, spares and logistics management. "
105,Cisco Systems,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/000090.gif,N,Cisco Systems Inc.,http://www.cisco.com/,4.2,3.7,3.8,3.8," Technology (IT, Telecom, Dot Com Etc)",1984, Chuck Robbins, 10000+," San Jose, California, U.S.", 10001+," Oracle Financial Services Software Ltd , Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , Microsoft India Pvt Ltd , Google India Pvt Ltd","Cisco Systems, Inc. is an American multinational technology company headquartered in San Jose, California, that designs, manufactures and sells networking equipment.  The stock was added to the Dow Jones Industrial Average on June 8, 2009, and is also included in the S&P 500 Index, the Russell 1000 Index, NASDAQ-100 Index and the Russell 1000 Growth Stock Index. "
106,Citibank,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000085.gif,N,Citibank India,http://www.citigroup.com/,3.4,3.7,3.6,3.5," Banking, Financial Services & Insurance",1812, Michael Corbat, 10000+," New York, US", 10001+," HSBC INDIA LTD , Bank of America , JPMorgan Chase & Co","Citibank is the consumer division of financial services multinational Citigroup. Citibank was founded in 1812 as the City Bank of New York, later First National City Bank of New York. The United States is the largest single market with approximately 26% of branches, generating 51% of revenues. Citibank's 983 North American branches are concentrated in major metropolitan areas including New York City, Chicago, Los Angeles, San Francisco, Washington, D.C., Miami, Boston, Houston, and Dallas. Latin America markets make up 25% of revenues, Asia 20%, and Europe / Middle East / Africa 4%. In addition to standard banking transactions, Citibank markets insurance, credit cards, and investment products. Their online services division is among the most successful in the field,  claiming about 15 million users.As a result of the global financial crisis of 2008–2009 and huge losses in the value of its subprime mortgage assets, Citibank was bailed out by aid from the U.S. government. On November 23, 2008, in addition to initial aid of $25 billion, a further $25 billion was invested in the corporation together with guarantees for risky assets amounting to $306 billion.  Since this time, Citibank has repaid its government loans in full,  resulting in a net profit for the U.S. government."
107,Citrix Systems,5,http://jobbuzz.timesjobs.com/ndata_images/logos/004427.gif,N,Citrix Systems India Pvt Ltd,http://www.citrix.com,5,5,5,5," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 5001 - 10000,-,"Citrix Systems, Inc. is an American multinational software company founded in 1989 that provides server, application and desktop virtualization, networking, software-as-a-service (SaaS), and cloud computing technologies.The company began by developing remote access products for Microsoft operating systems. It licensed source code from Microsoft and has been in partnership with the company throughout its history. Citrix came to prominence in the 1990s as a leader in thin client technology. Through several acquisitions in the mid-2000s, the company expanded into server and desktop virtualization, as well as cloud and Infrastructure as a Service.Citrix currently services around 330,000 organizations worldwide  and is based in Fort Lauderdale, Florida, in the Miami metropolitan area, and Santa Clara, California, with subsidiary operations in California and Massachusetts, and additional development centers in Canada, Germany, Denmark, the United Kingdom, India and Australia."
108,Cignex Datamatics,5,http://jobbuzz.timesjobs.com/ndata_images/logos/003560.gif,N,CIGNEX Datamatics Technologies Pvt Ltd,http://www.cignex.com,5,5,5,5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 201 - 500,-,"CIGNEX Datamatics is an IT company based in Santa Clara, California that offers Open Source enterprise solutions, platforms, products and services for Systems of Engagement and Insight   comprising Portals, Content and Big Data.  The company has stated its intention to ""Make Open Source Work"" for enterprises using industry-standard open platforms   while leveraging its Adopt-Open-Elevate ™ execution framework to mitigate any risk  and claims to have more than 450 enterprise implementations globally.    It presently has 22 offices across 9 countries    including UK, Germany, India, Singapore and Australia. "
109,Cipla,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000091.gif,N,Cipla Ltd,http://www.cipla.com,3.4,3.8,3.8,4.1," Chemicals, Paints & Fertilizers",1935, Subhanu Saxena, 5000 - 10000, Mumbai, 5001 - 10000," Sun Pharmaceutical Industries Ltd. , Ranbaxy Laboratories Ltd , Dr. Reddys Laboratories Ltd","Cipla Limited is an Indian multinational pharmaceutical and biotechnology company, headquartered in Mumbai, India,    Belgium, Surrey in the European Union and Miami, Florida, in the United States; with manufacturing facilities in Goa (eight), Bengaluru (one), Baddi (one), Indore (one), Kurkumbh (one), Patalganga (one), and Sikkim (one), along with field stations in Delhi, Pune, and Hyderabad.  Cipla primarily develops medicines to treat cardiovascular disease, arthritis, diabetes, weight control and depression; other medical conditions.   As of 17 September 2014, its market capitalisation was ₹517 billion (US$7.7 billion), making it India's 42nd largest publicly traded company by market value.   "
110,CIS,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/000090.gif,N,Cisco Systems Inc.,http://www.cisco.com/,4.2,3.7,3.8,3.8," Technology (IT, Telecom, Dot Com Etc)",1984, Chuck Robbins, 10000+," San Jose, California, U.S.", 10001+," Oracle Financial Services Software Ltd , Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , Microsoft India Pvt Ltd , Google India Pvt Ltd",0
111,CMC,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/000078.png,N,CMC Ltd,http://www.cmcltd.com/,3.3,2.9,3.1,3.1," Technology (IT, Telecom, Dot Com Etc)",1975, R.Ramanan, 500 - 1000, New Delhi, 5001 - 10000," Spel Semiconductor Ltd , HCL Infosystems Ltd , Moser Baer India Ltd",0
